ProductID,ProductCategory,ProductBrand,ProductPrice,CustomerAge,CustomerGender,PurchaseFrequency,CustomerSatisfaction,PurchaseIntent
5933,Tablets,Apple,468.454685,69,0,2,3,0
5934,Headphones,Other Brands,1836.615959,67,0,10,2,0
5935,Smart Watches,Sony,1659.246074,44,1,17,5,1
5936,Tablets,Other Brands,2093.995211,69,0,11,3,0
5937,Laptops,Apple,585.7831179,33,1,11,4,1
5938,Smartphones,Other Brands,2724.653035,67,0,3,1,0
5939,Smart Watches,Apple,1360.852559,37,0,17,5,1
5940,Smartphones,HP,2956.233181,24,0,9,5,0
5941,Tablets,Apple,750.9570883,23,0,17,5,0
5942,Smart Watches,Other Brands,2130.78601,28,0,19,2,0
5943,Smart Watches,Sony,385.2980222,22,1,7,4,1
5944,Smart Watches,Sony,2865.457542,61,0,19,5,1
5945,Smart Watches,Samsung,1975.582755,19,1,4,1,0
5946,Headphones,HP,2559.972025,67,1,16,5,1
5947,Smart Watches,Other Brands,1613.459051,25,1,2,2,0
5948,Tablets,Samsung,1500.030112,62,0,3,3,0
5949,Smartphones,Other Brands,1969.654562,35,0,10,1,0
5950,Tablets,Other Brands,262.1532767,41,1,18,4,1
5951,Tablets,Other Brands,1797.298247,33,0,1,4,1
5952,Smartphones,Sony,789.3074817,42,1,16,4,1
5953,Smartphones,Apple,826.6047852,26,0,14,5,0
5954,Headphones,Apple,2351.627423,53,0,12,4,1
5955,Smart Watches,Sony,1227.804031,51,0,18,1,0
5956,Smart Watches,Sony,124.8272897,68,1,3,3,1
5957,Tablets,HP,1111.608365,53,0,6,3,0
5958,Smartphones,Samsung,2647.021562,60,0,5,2,0
5959,Tablets,Sony,1351.257829,67,1,13,1,1
5960,Laptops,Apple,233.6745298,69,0,7,1,0
5961,Tablets,Apple,1191.199937,68,0,11,5,1
5962,Headphones,Samsung,2487.879293,57,1,17,2,1
5963,Headphones,Sony,1261.535157,65,1,10,5,1
5964,Laptops,Apple,109.2899081,37,1,14,4,1
5965,Headphones,Samsung,2506.175755,55,1,15,4,1
5966,Smart Watches,Samsung,2679.334123,64,0,13,1,0
5967,Tablets,HP,1237.469185,48,0,3,2,0
5968,Smart Watches,HP,2679.303425,25,1,14,4,1
5969,Smartphones,Apple,409.9001008,46,0,19,1,0
5970,Headphones,Apple,1505.006006,27,1,14,2,0
5971,Smart Watches,Sony,223.0684026,55,0,13,5,1
5972,Smart Watches,Apple,1374.365142,48,1,11,4,1
5973,Headphones,Samsung,1505.999435,53,1,12,3,1
5974,Headphones,Other Brands,1678.637668,30,1,16,3,0
5975,Headphones,Other Brands,224.4303475,51,0,13,2,0
5976,Headphones,Samsung,2509.950569,50,0,18,3,0
5977,Laptops,Samsung,1186.248672,47,1,5,5,1
5978,Smart Watches,Apple,2866.793199,69,1,3,2,1
5979,Headphones,HP,2761.42939,45,0,11,4,1
5980,Laptops,HP,2335.039011,53,0,1,3,0
5981,Smart Watches,Sony,1531.735315,64,1,9,3,1
5982,Laptops,Other Brands,2315.520848,25,0,12,2,0
5983,Tablets,Other Brands,2775.551512,56,1,15,4,1
5984,Headphones,HP,853.2988944,58,1,18,5,1
5985,Laptops,Sony,576.7247113,28,1,5,5,1
5986,Headphones,Other Brands,492.3629843,42,1,17,4,1
5987,Smart Watches,Other Brands,2403.957553,65,0,4,2,0
5988,Smartphones,Sony,2709.946752,63,0,17,4,1
5989,Headphones,Samsung,1966.808384,45,0,15,1,0
5990,Laptops,Sony,1950.151112,30,0,19,2,0
5991,Smart Watches,Apple,2765.738305,56,1,8,2,1
5992,Tablets,HP,1929.695532,25,0,4,5,0
5993,Laptops,Sony,2843.819525,25,0,19,5,0
5994,Headphones,Sony,2315.676736,21,1,16,3,0
5995,Laptops,Other Brands,1478.529519,45,0,18,3,0
5996,Tablets,Apple,2432.461599,53,1,13,1,1
5997,Laptops,Other Brands,2584.529648,38,0,9,1,0
5998,Laptops,HP,1984.015784,67,1,14,3,1
5999,Smartphones,HP,1395.09311,31,0,4,4,1
6000,Headphones,Sony,2096.721431,46,0,14,3,0
6001,Tablets,HP,2446.9219,46,0,7,4,1
6002,Smartphones,HP,1479.70611,38,1,6,5,1
6003,Smart Watches,Sony,2578.624111,56,0,16,1,0
6004,Laptops,Apple,565.0344341,20,0,7,3,0
6005,Laptops,Sony,1615.6047,19,1,12,2,0
6006,Smartphones,Apple,1375.775552,33,1,7,3,1
6007,Smartphones,Sony,1704.383306,47,0,8,3,0
6008,Headphones,Samsung,2566.697118,21,1,2,3,0
6009,Smartphones,Other Brands,2574.249374,60,1,8,5,1
6010,Headphones,Samsung,1019.437436,28,1,6,3,0
6011,Smart Watches,Samsung,1405.35171,28,0,10,2,0
6012,Tablets,Sony,772.3063687,18,1,11,2,0
6013,Smartphones,Samsung,2723.055368,48,0,17,1,0
6014,Tablets,Sony,383.8143936,60,1,10,3,1
6015,Headphones,Other Brands,1913.877397,27,0,11,2,0
6016,Smart Watches,Samsung,2782.647489,32,0,19,5,1
6017,Smartphones,Other Brands,466.8312032,42,1,18,4,1
6018,Smartphones,HP,1048.825019,51,0,3,5,1
6019,Smart Watches,Samsung,1806.057022,49,0,8,2,0
6020,Tablets,Other Brands,2865.187659,65,1,7,5,1
6021,Smartphones,Other Brands,1481.5462,42,0,18,4,1
6022,Smart Watches,Apple,233.2655319,36,1,11,2,1
6023,Smartphones,HP,2090.798834,66,1,18,5,1
6024,Laptops,HP,1468.96696,33,0,14,1,0
6025,Headphones,HP,731.4370942,19,1,19,3,0
6026,Laptops,Sony,2983.494262,41,0,11,2,0
6027,Smartphones,Samsung,1997.917989,38,0,10,4,1
6028,Smartphones,Sony,1206.712047,20,0,1,1,0
6029,Laptops,Apple,1752.157338,51,1,6,3,1
6030,Smartphones,Samsung,936.4659101,58,0,10,4,1
6031,Smart Watches,Sony,420.5019849,60,0,13,5,1
6032,Smartphones,Apple,2291.52665,66,1,17,1,1
6033,Smart Watches,HP,2441.391397,59,0,1,4,1
6034,Tablets,Sony,345.7949487,23,1,8,4,1
6035,Headphones,Other Brands,832.2568828,55,1,7,3,1
6036,Tablets,HP,1667.943514,18,1,19,5,1
6037,Laptops,HP,330.1200363,47,1,8,1,1
6038,Smart Watches,Apple,2884.873442,50,0,11,5,1
6039,Smart Watches,Other Brands,162.8762392,40,1,8,5,1
6040,Headphones,HP,1636.489676,42,0,19,4,1
6041,Headphones,Samsung,1402.744498,57,0,8,4,1
6042,Tablets,HP,1951.518408,21,1,10,3,0
6043,Smartphones,HP,1909.920695,26,1,18,3,0
6044,Smartphones,HP,351.3871157,69,0,8,1,0
6045,Headphones,Sony,1488.245399,56,1,3,1,1
6046,Smartphones,Apple,1674.807374,45,1,7,1,1
6047,Smart Watches,Other Brands,782.2358143,39,1,4,3,1
6048,Headphones,Apple,400.4641651,42,1,19,2,1
6049,Headphones,Sony,1508.484558,50,0,5,3,0
6050,Headphones,Other Brands,906.0674303,67,0,2,2,0
6051,Headphones,Apple,510.1413419,21,1,13,1,0
6052,Headphones,Samsung,2994.174213,22,1,4,3,0
6053,Tablets,Other Brands,979.3299859,58,0,5,3,0
6054,Laptops,HP,941.6391261,34,0,3,5,1
6055,Laptops,Apple,139.0401345,38,1,4,1,1
6056,Smart Watches,HP,785.5687269,25,0,15,4,0
6057,Smartphones,Samsung,1152.875414,30,0,12,1,0
6058,Smartphones,Sony,178.2292871,25,0,15,4,0
6059,Laptops,Samsung,2971.874535,27,1,15,3,0
6060,Laptops,Samsung,2195.751649,42,1,3,3,1
6061,Smart Watches,HP,1222.942123,47,0,17,3,0
6062,Tablets,Samsung,2834.336366,20,0,19,2,0
6063,Laptops,HP,2805.299985,26,0,4,5,0
6064,Tablets,HP,1993.776919,51,0,5,1,0
6065,Headphones,Samsung,2132.557085,48,1,10,3,1
6066,Smart Watches,HP,2150.78671,68,0,1,3,0
6067,Headphones,HP,2303.051475,52,0,18,4,1
6068,Headphones,Sony,2573.580671,47,1,12,2,1
6069,Smartphones,Sony,1745.216011,61,0,7,4,1
6070,Smart Watches,Other Brands,2348.447681,57,1,12,4,1
6071,Smart Watches,Sony,1663.569646,23,0,1,4,0
6072,Laptops,Apple,1861.000802,58,1,12,3,1
6073,Headphones,Sony,1107.564107,24,1,5,1,0
6074,Tablets,Sony,1825.650106,54,1,10,5,1
6075,Tablets,Other Brands,1815.562742,19,0,19,5,0
6076,Tablets,Other Brands,2423.39216,48,1,13,3,1
6077,Laptops,Samsung,1782.276299,62,0,6,3,0
6078,Headphones,Sony,1289.617273,57,0,3,1,0
6079,Smart Watches,Sony,1210.309046,50,1,7,3,1
6080,Smartphones,Sony,2652.63725,18,1,13,5,1
6081,Laptops,HP,1520.82163,19,1,3,3,0
6082,Laptops,Apple,2342.989265,23,0,1,1,0
6083,Headphones,Apple,1639.669208,54,1,19,3,1
6084,Laptops,HP,2329.405276,40,1,3,1,1
6085,Tablets,HP,889.5237022,51,1,2,3,1
6086,Headphones,Other Brands,1852.916602,28,0,7,4,0
6087,Tablets,Other Brands,1447.530419,54,0,3,2,0
6088,Laptops,HP,909.5710225,25,0,16,5,0
6089,Headphones,Sony,2723.021744,50,0,10,4,1
6090,Headphones,Apple,2939.85133,39,1,12,3,1
6091,Tablets,HP,1232.291951,44,0,14,1,0
6092,Laptops,Samsung,206.0432843,52,1,16,5,1
6093,Smart Watches,Samsung,878.5841271,31,0,17,3,0
6094,Headphones,Other Brands,682.7500199,52,0,11,1,0
6095,Headphones,Other Brands,1096.929955,39,0,13,1,0
6096,Headphones,Samsung,2897.546317,62,0,9,1,0
6097,Headphones,Sony,287.6417414,42,0,2,2,0
6098,Smart Watches,HP,2950.631474,48,0,1,5,1
6099,Headphones,Apple,1313.852568,53,1,8,3,1
6100,Tablets,HP,2256.765149,53,1,3,4,1
6101,Smartphones,HP,1437.686821,69,1,5,3,1
6102,Tablets,Apple,1887.386488,50,1,9,3,1
6103,Laptops,Other Brands,698.309859,45,1,4,4,1
6104,Headphones,Apple,1854.035494,35,0,6,2,0
6105,Tablets,Sony,1909.24036,31,0,16,1,0
6106,Smart Watches,Other Brands,1315.859289,52,0,9,1,0
6107,Smartphones,Samsung,2737.208097,40,0,6,2,0
6108,Headphones,HP,1060.398932,23,1,15,5,1
6109,Smart Watches,Sony,150.1229098,23,1,10,3,0
6110,Smartphones,HP,2460.025328,46,1,13,1,1
6111,Headphones,Apple,401.8987848,40,0,14,1,0
6112,Tablets,Apple,2760.17904,61,0,8,3,0
6113,Smart Watches,Other Brands,643.5258687,47,0,17,1,0
6114,Headphones,Samsung,2000.112168,58,0,16,5,1
6115,Smartphones,Samsung,893.7275242,41,1,2,1,1
6116,Smartphones,Sony,1727.687008,53,1,15,4,1
6117,Smartphones,HP,1958.051207,69,0,13,2,0
6118,Smart Watches,Other Brands,2633.152467,59,1,15,1,1
6119,Tablets,Other Brands,2067.063197,27,0,7,5,0
6120,Smartphones,Sony,1722.106332,34,1,17,2,1
6121,Smartphones,Sony,1035.955843,57,0,4,1,0
6122,Smartphones,Apple,1216.602379,58,1,16,3,1
6123,Smartphones,Sony,2078.375151,33,1,7,1,1
6124,Laptops,HP,2298.167264,43,0,10,5,1
6125,Headphones,Sony,2170.241095,39,1,15,5,1
6126,Smartphones,HP,2855.402291,52,0,1,1,0
6127,Smart Watches,Sony,2033.833501,55,1,3,1,1
6128,Smartphones,Other Brands,2442.850602,63,1,18,5,1
6129,Headphones,Sony,1135.897364,43,1,14,3,1
6130,Smartphones,Sony,1895.501849,52,0,19,4,1
6131,Smartphones,HP,1113.486263,33,0,13,1,0
6132,Smart Watches,Sony,1596.915322,60,0,7,4,1
6133,Laptops,HP,2190.2001,31,1,18,4,1
6134,Headphones,Samsung,2383.316887,50,1,18,1,1
6135,Smartphones,Sony,1606.613503,25,0,1,2,0
6136,Headphones,Apple,144.1089196,38,0,9,2,0
6137,Headphones,Other Brands,894.964152,18,0,7,2,0
6138,Smartphones,Other Brands,743.116254,49,0,18,2,0
6139,Headphones,Samsung,2573.531204,31,0,15,3,0
6140,Smartphones,Sony,2056.106677,50,1,16,1,1
6141,Laptops,Other Brands,1357.1308,31,1,16,4,1
6142,Smartphones,Sony,1041.744226,67,0,15,5,1
6143,Headphones,Apple,1263.276053,21,1,16,1,0
6144,Smart Watches,Apple,1946.42668,68,1,15,5,1
6145,Headphones,Apple,2127.800927,58,1,5,2,1
6146,Laptops,Sony,752.955872,61,1,2,3,1
6147,Tablets,Other Brands,1113.521454,36,1,6,4,1
6148,Tablets,Samsung,1541.380253,41,1,2,3,1
6149,Laptops,HP,2691.319575,56,0,11,4,1
6150,Tablets,Samsung,305.2419232,18,0,16,4,0
6151,Tablets,Samsung,2004.507263,52,0,2,2,0
6152,Laptops,Samsung,631.2060542,58,1,6,3,1
6153,Headphones,Samsung,1668.006595,33,1,7,4,1
6154,Laptops,HP,306.0850444,47,0,14,4,1
6155,Smartphones,Apple,2786.218994,38,0,7,2,0
6156,Smartphones,Sony,2437.49607,18,1,11,1,0
6157,Smartphones,Other Brands,2285.892354,58,1,14,1,1
6158,Smartphones,Sony,1908.811017,18,1,5,5,1
6159,Smart Watches,Sony,1872.514867,22,0,16,1,0
6160,Smart Watches,HP,1909.155379,40,0,11,5,1
6161,Tablets,Apple,2920.143853,35,0,14,3,0
6162,Headphones,Other Brands,400.1667384,19,0,7,2,0
6163,Smart Watches,HP,2409.107155,29,1,2,3,0
6164,Headphones,Samsung,141.5032885,18,1,13,1,0
6165,Headphones,Apple,2729.666039,36,1,2,3,1
6166,Headphones,Sony,2330.699143,45,1,6,3,1
6167,Headphones,HP,2250.690119,18,0,19,4,0
6168,Smartphones,HP,864.7020927,59,1,15,3,1
6169,Smartphones,HP,1879.627991,54,0,15,4,1
6170,Laptops,Apple,503.1329167,61,1,2,2,1
6171,Laptops,Sony,2247.699319,31,0,14,2,0
6172,Tablets,Samsung,2719.23689,36,1,3,5,1
6173,Headphones,Other Brands,1344.489664,64,1,10,3,1
6174,Smartphones,Samsung,733.0443794,44,1,13,4,1
6175,Smart Watches,Other Brands,614.7603602,57,1,19,2,1
6176,Smart Watches,Samsung,1759.932049,33,1,14,3,1
6177,Headphones,HP,287.073233,19,0,3,1,0
6178,Laptops,HP,2073.66383,68,0,6,4,1
6179,Headphones,Apple,1134.922263,20,1,14,2,0
6180,Headphones,HP,1506.713754,63,1,19,4,1
6181,Headphones,Sony,466.3964118,30,0,9,4,0
6182,Smart Watches,Apple,1068.437379,21,0,17,3,0
6183,Smart Watches,Other Brands,558.9930015,24,1,6,3,0
6184,Smart Watches,HP,1518.995779,69,0,9,1,0
6185,Laptops,Other Brands,2417.120532,31,0,8,1,0
6186,Laptops,Samsung,502.402406,49,0,13,4,1
6187,Smart Watches,HP,1377.908434,48,1,2,2,1
6188,Laptops,HP,234.6492549,45,0,16,2,0
6189,Headphones,Sony,248.2459001,21,1,5,3,0
6190,Laptops,Apple,616.5152934,24,1,2,1,0
6191,Headphones,Samsung,2042.570614,59,0,17,2,0
6192,Headphones,Apple,1053.485693,54,0,17,3,0
6193,Laptops,Samsung,2759.443938,54,1,13,4,1
6194,Headphones,Apple,548.8076049,21,1,1,1,0
6195,Tablets,Apple,541.1608441,65,1,13,1,1
6196,Tablets,Apple,2631.290206,29,0,7,3,0
6197,Laptops,Other Brands,954.3204959,28,1,16,1,0
6198,Laptops,HP,1747.431197,32,0,12,4,1
6199,Tablets,Apple,1947.571693,34,1,4,2,1
6200,Laptops,Apple,1474.413937,37,1,1,3,1
6201,Laptops,Sony,2565.006876,44,1,15,5,1
6202,Smartphones,HP,729.077449,37,1,11,4,1
6203,Smart Watches,Apple,234.3846108,32,1,5,2,1
6204,Laptops,Other Brands,1828.514204,20,1,15,3,0
6205,Smart Watches,Samsung,147.8652249,57,1,15,3,1
6206,Smart Watches,Apple,2698.624131,51,1,3,1,1
6207,Laptops,Other Brands,2351.415345,28,0,1,4,0
6208,Smart Watches,Apple,2428.659435,43,1,9,5,1
6209,Smartphones,Sony,1050.936627,56,0,2,1,0
6210,Tablets,Sony,856.3016242,18,0,7,3,0
6211,Smartphones,Sony,1117.932249,43,1,14,2,1
6212,Headphones,Sony,2359.889069,28,1,3,2,0
6213,Laptops,Samsung,1153.859744,64,1,6,1,1
6214,Smartphones,Sony,1526.132158,67,1,1,5,1
6215,Headphones,Other Brands,2434.657802,54,0,11,3,0
6216,Smartphones,Other Brands,2164.13564,63,1,2,1,1
6217,Smart Watches,Apple,489.084557,33,0,8,3,0
6218,Headphones,Other Brands,1396.370765,68,0,18,3,0
6219,Smartphones,HP,1577.859456,25,1,7,2,0
6220,Tablets,Samsung,1369.295873,19,0,11,2,0
6221,Headphones,Samsung,957.9811807,52,1,18,4,1
6222,Tablets,Samsung,909.1284396,20,1,6,2,0
6223,Laptops,HP,1602.536132,48,1,13,2,1
6224,Laptops,Apple,749.9971128,59,0,1,4,1
6225,Smartphones,Other Brands,493.2402862,68,1,9,4,1
6226,Headphones,Sony,2181.193753,38,1,11,5,1
6227,Headphones,Other Brands,2964.484,64,0,15,2,0
6228,Smart Watches,Samsung,481.4994236,64,0,6,3,0
6229,Laptops,Samsung,392.8585185,35,1,16,1,1
6230,Headphones,Apple,1085.916854,60,1,14,4,1
6231,Laptops,Apple,2425.492178,23,1,1,1,0
6232,Smart Watches,Sony,2315.046288,43,0,6,5,1
6233,Tablets,HP,2704.671678,55,1,12,2,1
6234,Laptops,Other Brands,742.4232774,31,1,18,3,1
6235,Smart Watches,Sony,1900.359258,60,0,1,3,0
6236,Headphones,Samsung,2559.70972,56,1,7,2,1
6237,Smart Watches,Other Brands,2391.296269,41,0,5,4,1
6238,Laptops,Sony,2056.142745,62,1,17,3,1
6239,Smart Watches,HP,2700.974251,32,1,7,2,1
6240,Smart Watches,Samsung,2349.128304,57,0,8,2,0
6241,Smartphones,Other Brands,2329.204375,62,0,19,2,0
6242,Tablets,Other Brands,1620.870758,33,0,1,1,0
6243,Headphones,Other Brands,146.6402358,66,0,15,3,0
6244,Smartphones,Sony,2261.737923,58,1,4,5,1
6245,Laptops,Apple,2334.880875,32,0,4,2,0
6246,Smart Watches,Sony,2969.924255,67,1,7,2,1
6247,Headphones,Other Brands,1827.565643,39,1,17,1,1
6248,Tablets,Other Brands,905.0791559,23,1,13,4,1
6249,Smart Watches,Other Brands,737.4244211,38,1,15,1,1
6250,Tablets,Sony,1142.886011,38,0,16,3,0
6251,Smartphones,HP,2283.16712,23,1,5,1,0
6252,Headphones,HP,1434.002103,23,0,9,5,0
6253,Smartphones,Other Brands,1478.744358,22,1,9,1,0
6254,Tablets,Apple,447.2202787,47,1,5,4,1
6255,Tablets,HP,1092.302671,43,0,3,2,0
6256,Smart Watches,Other Brands,1629.143419,25,1,4,2,0
6257,Headphones,Samsung,1765.183688,63,1,8,1,1
6258,Tablets,Other Brands,785.1301395,54,0,12,5,1
6259,Headphones,Apple,2823.829793,29,0,19,1,0
6260,Smart Watches,Samsung,1983.543933,21,1,6,1,0
6261,Smartphones,Apple,235.0823739,51,0,3,5,1
6262,Smart Watches,Apple,2743.149903,52,0,6,3,0
6263,Smartphones,Other Brands,105.5172966,31,0,16,4,1
6264,Smartphones,HP,700.4863231,59,0,9,5,1
6265,Tablets,Samsung,1458.531816,40,0,17,1,0
6266,Tablets,Apple,674.204727,40,0,13,3,0
6267,Smartphones,Other Brands,2576.717508,58,1,18,5,1
6268,Smart Watches,HP,2056.021209,50,1,5,1,1
6269,Laptops,Apple,680.655739,43,0,1,5,1
6270,Smartphones,Samsung,510.3631163,62,0,6,1,0
6271,Smart Watches,Apple,1887.824519,42,1,6,3,1
6272,Laptops,Apple,1767.836913,38,0,7,3,0
6273,Tablets,Other Brands,846.4880577,52,0,3,4,1
6274,Headphones,Sony,1097.905894,49,0,7,3,0
6275,Headphones,HP,2891.508846,50,0,2,5,1
6276,Tablets,Samsung,223.0126105,24,0,18,3,0
6277,Smart Watches,Sony,1825.679525,59,1,13,1,1
6278,Tablets,Other Brands,580.2102981,61,1,5,4,1
6279,Laptops,Other Brands,672.5125591,61,0,16,5,1
6280,Smartphones,Sony,2171.749928,28,0,3,5,0
6281,Tablets,Apple,1826.048131,41,1,4,2,1
6282,Smartphones,HP,2443.589446,49,1,3,1,1
6283,Headphones,Other Brands,461.6711286,59,1,18,3,1
6284,Tablets,Other Brands,2650.625999,25,0,9,4,0
6285,Smart Watches,HP,1375.358409,54,0,10,2,0
6286,Smart Watches,Samsung,1375.641057,53,1,14,2,1
6287,Headphones,Sony,400.5706815,28,0,17,3,0
6288,Smart Watches,Other Brands,1249.229469,66,0,10,3,0
6289,Headphones,HP,1475.659575,57,1,19,5,1
6290,Smart Watches,Sony,516.3770629,64,1,5,5,1
6291,Laptops,Samsung,1605.296357,45,0,9,1,0
6292,Laptops,HP,543.6802912,40,1,12,2,1
6293,Smart Watches,Samsung,2258.67254,57,1,15,3,1
6294,Smart Watches,HP,1096.789474,58,1,13,4,1
6295,Smartphones,Apple,2448.662512,68,0,1,1,0
6296,Smartphones,Apple,2962.253999,30,1,5,5,1
6297,Tablets,Other Brands,2834.608409,65,1,5,4,1
6298,Smartphones,HP,561.2255004,23,0,8,3,0
6299,Laptops,Other Brands,986.8348771,29,1,7,1,0
6300,Headphones,Apple,2367.800002,65,0,15,5,1
6301,Laptops,Apple,1375.055649,44,1,3,1,1
6302,Smart Watches,HP,2147.826172,37,0,3,1,0
6303,Headphones,Samsung,2336.620203,69,1,11,3,1
6304,Smartphones,HP,1741.954153,33,1,11,4,1
6305,Tablets,HP,1018.745825,55,1,5,5,1
6306,Tablets,Sony,2645.195496,25,1,7,2,0
6307,Tablets,Other Brands,508.7273393,46,1,2,4,1
6308,Smart Watches,HP,110.2670906,46,1,1,3,1
6309,Headphones,Sony,2102.348723,68,0,2,3,0
6310,Smart Watches,Other Brands,1675.916519,42,0,16,1,0
6311,Tablets,Samsung,1764.809946,28,1,7,4,1
6312,Tablets,Apple,623.6623059,27,1,16,5,1
6313,Laptops,Apple,2486.697275,34,1,10,3,1
6314,Smartphones,Apple,2345.406958,36,0,17,3,0
6315,Smart Watches,HP,2667.162422,27,0,15,4,0
6316,Headphones,Other Brands,1003.159275,27,0,9,5,0
6317,Smartphones,Other Brands,248.8615517,52,0,9,3,0
6318,Headphones,Sony,905.7513404,53,1,13,2,1
6319,Headphones,Other Brands,1054.665883,40,0,16,5,1
6320,Laptops,HP,699.8201563,53,1,18,4,1
6321,Tablets,Apple,2371.534871,36,1,10,1,1
6322,Tablets,Apple,2763.597103,41,1,18,2,1
6323,Smart Watches,Other Brands,1112.817971,68,1,17,2,1
6324,Smart Watches,Samsung,158.7180942,61,1,6,2,1
6325,Smart Watches,Sony,969.2203066,42,0,6,3,0
6326,Smart Watches,Samsung,2385.646868,51,1,6,3,1
6327,Headphones,Sony,512.5711285,18,0,16,1,0
6328,Smartphones,Apple,1218.161922,43,0,19,2,0
6329,Smart Watches,Sony,564.0865674,36,0,8,3,0
6330,Smartphones,Apple,321.0001033,42,1,2,4,1
6331,Laptops,Samsung,2039.455631,63,0,5,3,0
6332,Laptops,Other Brands,425.2356624,31,0,7,4,1
6333,Smartphones,Other Brands,815.3948185,68,1,2,5,1
6334,Tablets,Other Brands,473.016403,57,1,9,1,1
6335,Laptops,Other Brands,932.8891399,38,1,4,4,1
6336,Smartphones,Samsung,1074.08771,63,1,16,5,1
6337,Tablets,HP,2123.203829,33,1,1,4,1
6338,Tablets,Samsung,374.695767,22,0,7,1,0
6339,Tablets,Samsung,1564.867321,36,0,5,1,0
6340,Smartphones,HP,1683.853405,26,0,10,3,0
6341,Smart Watches,Other Brands,1232.501483,46,1,11,2,1
6342,Tablets,Samsung,682.2556841,42,0,6,2,0
6343,Smart Watches,HP,2297.773879,26,1,5,2,0
6344,Laptops,Samsung,2836.314615,20,0,2,1,0
6345,Laptops,Sony,1880.108974,50,0,17,2,0
6346,Tablets,Samsung,2756.636763,40,0,13,5,1
6347,Headphones,Other Brands,1773.731891,48,0,14,1,0
6348,Tablets,HP,933.4270577,60,0,1,5,1
6349,Smartphones,Apple,1226.567619,46,1,2,4,1
6350,Smartphones,Samsung,746.9179913,43,1,9,3,1
